zipcode,DAS Type
01002,DAS
01007,DAS
01010,DAS
01029,DAS
01032,DAS
01033,DAS
01036,DAS
01038,DAS
01039,DAS
01056,DAS
01057,DAS
01069,DAS
01073,DAS
01079,DAS
01080,DAS
01082,DAS
01083,DAS
01088,DAS
01093,DAS
01094,DAS
01220,DAS
01224,DAS
01225,DAS
01226,DAS
01227,DAS
01236,DAS
01240,DAS
01247,DAS
01257,DAS
01260,DAS
01267,DAS
01331,DAS
01337,DAS
01338,DAS
01347,DAS
01349,DAS
01351,DAS
01364,DAS
01375,DAS
01376,DAS
01420,DAS
01430,DAS
01431,DAS
01432,DAS
01436,DAS
01438,DAS
01450,DAS
01451,DAS
01463,DAS
01464,DAS
01467,DAS
01468,DAS
01469,DAS
01470,DAS
01471,DAS
01472,DAS
01473,DAS
01474,DAS
01503,DAS
01504,DAS
01506,DAS
01507,DAS
01509,DAS
01515,DAS
01516,DAS
01518,DAS
01521,DAS
01522,DAS
01523,DAS
01526,DAS
01529,DAS
01535,DAS
01541,DAS
01542,DAS
01543,DAS
01562,DAS
01566,DAS
01568,DAS
01590,DAS
01611,DAS
01612,DAS
01720,DAS
01741,DAS
01754,DAS
01756,DAS
01770,DAS
01773,DAS
01775,DAS
01826,DAS
01827,DAS
01830,DAS
01832,DAS
01833,DAS
01860,DAS
01879,DAS
01921,DAS
01922,DAS
01929,DAS
01930,DAS
01936,DAS
01938,DAS
01944,DAS
01949,DAS
01950,DAS
01951,DAS
01952,DAS
01966,DAS
01969,DAS
01982,DAS
01983,DAS
01985,DAS
02025,DAS
02030,DAS
02031,DAS
02045,DAS
02053,DAS
02054,DAS
02056,DAS
02066,DAS
02330,DAS
02332,DAS
02338,DAS
02341,DAS
02347,DAS
02355,DAS
02364,DAS
02366,DAS
02367,DAS
02534,DAS
02538,DAS
02539,DAS
02540,DAS
02541,DAS
02542,DAS
02557,DAS
02564,DAS
02568,DAS
02630,DAS
02631,DAS
02633,DAS
02635,DAS
02638,DAS
02639,DAS
02641,DAS
02642,DAS
02643,DAS
02645,DAS
02646,DAS
02647,DAS
02648,DAS
02650,DAS
02651,DAS
02652,DAS
02653,DAS
02655,DAS
02657,DAS
02659,DAS
02660,DAS
02662,DAS
02668,DAS
02669,DAS
02670,DAS
02671,DAS
02675,DAS
02702,DAS
02715,DAS
02717,DAS
02739,DAS
02743,DAS
02744,DAS
02748,DAS
02769,DAS
02770,DAS
02779,DAS
02790,DAS
02801,DAS
02804,DAS
02812,DAS
02813,DAS
02814,DAS
02817,DAS
02822,DAS
02829,DAS
02830,DAS
02835,DAS
02836,DAS
02837,DAS
02838,DAS
02839,DAS
02857,DAS
02858,DAS
02859,DAS
02873,DAS
02874,DAS
02876,DAS
02877,DAS
02878,DAS
02879,DAS
02880,DAS
02891,DAS
02892,DAS
03032,DAS
03033,DAS
03034,DAS
03036,DAS
03037,DAS
03040,DAS
03045,DAS
03046,DAS
03048,DAS
03049,DAS
03055,DAS
03057,DAS
03070,DAS
03084,DAS
03086,DAS
03220,DAS
03226,DAS
03229,DAS
03233,DAS
03235,DAS
03238,DAS
03246,DAS
03249,DAS
03252,DAS
03254,DAS
03257,DAS
03258,DAS
03264,DAS
03275,DAS
03281,DAS
03303,DAS
03304,DAS
03446,DAS
03448,DAS
03449,DAS
03451,DAS
03452,DAS
03458,DAS
03461,DAS
03466,DAS
03467,DAS
03468,DAS
03469,DAS
03470,DAS
03570,DAS
03575,DAS
03581,DAS
03584,DAS
03585,DAS
03589,DAS
03598,DAS
03608,DAS
03741,DAS
03743,DAS
03748,DAS
03749,DAS
03753,DAS
03754,DAS
03770,DAS
03771,DAS
03773,DAS
03774,DAS
03785,DAS
03811,DAS
03819,DAS
03823,DAS
03824,DAS
03825,DAS
03827,DAS
03838,DAS
03841,DAS
03844,DAS
03848,DAS
03850,DAS
03856,DAS
03861,DAS
03868,DAS
03869,DAS
03870,DAS
03873,DAS
03901,DAS
03902,DAS
03903,DAS
03905,DAS
03907,DAS
03908,DAS
04002,DAS
04008,DAS
04015,DAS
04019,DAS
04021,DAS
04030,DAS
04033,DAS
04038,DAS
04039,DAS
04042,DAS
04046,DAS
04054,DAS
04061,DAS
04062,DAS
04073,DAS
04077,DAS
04079,DAS
04083,DAS
04084,DAS
04085,DAS
04086,DAS
04087,DAS
04090,DAS
04093,DAS
04096,DAS
04097,DAS
04222,DAS
04228,DAS
04230,DAS
04236,DAS
04238,DAS
04239,DAS
04250,DAS
04252,DAS
04254,DAS
04256,DAS
04257,DAS
04259,DAS
04260,DAS
04263,DAS
04265,DAS
04268,DAS
04270,DAS
04271,DAS
04274,DAS
04280,DAS
04281,DAS
04282,DAS
04284,DAS
04291,DAS
04343,DAS
04345,DAS
04350,DAS
04351,DAS
04355,DAS
04357,DAS
04419,DAS
04429,DAS
04444,DAS
04456,DAS
04468,DAS
04473,DAS
04474,DAS
04496,DAS
04530,DAS
04537,DAS
04538,DAS
04541,DAS
04543,DAS
04553,DAS
04573,DAS
04579,DAS
04605,DAS
04609,DAS
04619,DAS
04662,DAS
04665,DAS
04669,DAS
04672,DAS
04675,DAS
04690,DAS
04730,DAS
04736,DAS
04738,DAS
04740,DAS
04742,DAS
04841,DAS
04843,DAS
04849,DAS
04850,DAS
04854,DAS
04856,DAS
04861,DAS
04865,DAS
04915,DAS
04917,DAS
04918,DAS
04927,DAS
04933,DAS
04937,DAS
04938,DAS
04940,DAS
04944,DAS
04953,DAS
04963,DAS
04967,DAS
04972,DAS
04975,DAS
04976,DAS
04981,DAS
04992,DAS
05001,DAS
05030,DAS
05033,DAS
05050,DAS
05053,DAS
05055,DAS
05060,DAS
05061,DAS
05073,DAS
05089,DAS
05091,DAS
05101,DAS
05141,DAS
05150,DAS
05154,DAS
05156,DAS
05158,DAS
05159,DAS
05201,DAS
05253,DAS
05254,DAS
05255,DAS
05301,DAS
05302,DAS
05303,DAS
05304,DAS
05346,DAS
05354,DAS
05443,DAS
05445,DAS
05454,DAS
05461,DAS
05465,DAS
05469,DAS
05473,DAS
05477,DAS
05494,DAS
05602,DAS
05641,DAS
05649,DAS
05654,DAS
05656,DAS
05657,DAS
05661,DAS
05662,DAS
05663,DAS
05664,DAS
05670,DAS
05671,DAS
05672,DAS
05676,DAS
05677,DAS
05678,DAS
05736,DAS
05740,DAS
05753,DAS
05765,DAS
05768,DAS
05819,DAS
05823,DAS
05829,DAS
05830,DAS
05838,DAS
05848,DAS
05850,DAS
05851,DAS
05855,DAS
05863,DAS
06001,DAS
06013,DAS
06016,DAS
06018,DAS
06019,DAS
06020,DAS
06022,DAS
06026,DAS
06031,DAS
06035,DAS
06039,DAS
06043,DAS
06057,DAS
06060,DAS
06062,DAS
06071,DAS
06073,DAS
06075,DAS
06076,DAS
06077,DAS
06078,DAS
06081,DAS
06084,DAS
06085,DAS
06087,DAS
06089,DAS
06090,DAS
06092,DAS
06093,DAS
06094,DAS
06231,DAS
06232,DAS
06234,DAS
06237,DAS
06238,DAS
06239,DAS
06243,DAS
06246,DAS
06248,DAS
06249,DAS
06250,DAS
06254,DAS
06255,DAS
06262,DAS
06264,DAS
06266,DAS
06268,DAS
06277,DAS
06279,DAS
06280,DAS
06330,DAS
06331,DAS
06333,DAS
06335,DAS
06339,DAS
06351,DAS
06353,DAS
06354,DAS
06355,DAS
06357,DAS
06360,DAS
06370,DAS
06371,DAS
06372,DAS
06374,DAS
06375,DAS
06376,DAS
06378,DAS
06383,DAS
06387,DAS
06388,DAS
06390,DAS
06401,DAS
06403,DAS
06404,DAS
06409,DAS
06412,DAS
06414,DAS
06415,DAS
06417,DAS
06419,DAS
06422,DAS
06423,DAS
06424,DAS
06426,DAS
06438,DAS
06439,DAS
06440,DAS
06441,DAS
06442,DAS
06443,DAS
06447,DAS
06469,DAS
06470,DAS
06474,DAS
06475,DAS
06478,DAS
06479,DAS
06480,DAS
06481,DAS
06482,DAS
06483,DAS
06487,DAS
06488,DAS
06498,DAS
06524,DAS
06525,DAS
06612,DAS
06704,DAS
06712,DAS
06716,DAS
06749,DAS
06751,DAS
06759,DAS
06762,DAS
06776,DAS
06778,DAS
06779,DAS
06781,DAS
06782,DAS
06786,DAS
06787,DAS
06790,DAS
06791,DAS
06793,DAS
06795,DAS
06798,DAS
06801,DAS
06812,DAS
06840,DAS
06875,DAS
06876,DAS
06877,DAS
06883,DAS
06896,DAS
06897,DAS
07005,DAS
07045,DAS
07416,DAS
07418,DAS
07419,DAS
07421,DAS
07422,DAS
07438,DAS
07439,DAS
07456,DAS
07461,DAS
07462,DAS
07465,DAS
07480,DAS
07710,DAS
07716,DAS
07717,DAS
07719,DAS
07720,DAS
07722,DAS
07727,DAS
07732,DAS
07738,DAS
07762,DAS
07803,DAS
07821,DAS
07822,DAS
07823,DAS
07830,DAS
07837,DAS
07839,DAS
07847,DAS
07848,DAS
07849,DAS
07853,DAS
07855,DAS
07856,DAS
07860,DAS
07870,DAS
07871,DAS
07877,DAS
07879,DAS
07882,DAS
07924,DAS
07930,DAS
07931,DAS
07934,DAS
07935,DAS
07938,DAS
07945,DAS
07976,DAS
07977,DAS
07978,DAS
07979,DAS
07980,DAS
08001,DAS
08004,DAS
08005,DAS
08008,DAS
08011,DAS
08014,DAS
08015,DAS
08022,DAS
08025,DAS
08037,DAS
08038,DAS
08042,DAS
08050,DAS
08067,DAS
08068,DAS
08069,DAS
08070,DAS
08072,DAS
08073,DAS
08079,DAS
08087,DAS
08088,DAS
08089,DAS
08092,DAS
08095,DAS
08098,DAS
08201,DAS
08202,DAS
08203,DAS
08204,DAS
08205,DAS
08210,DAS
08212,DAS
08213,DAS
08214,DAS
08215,DAS
08217,DAS
08220,DAS
08221,DAS
08223,DAS
08224,DAS
08225,DAS
08226,DAS
08230,DAS
08232,DAS
08240,DAS
08241,DAS
08242,DAS
08243,DAS
08245,DAS
08247,DAS
08248,DAS
08251,DAS
08260,DAS
08302,DAS
08310,DAS
08312,DAS
08313,DAS
08317,DAS
08318,DAS
08320,DAS
08322,DAS
08326,DAS
08328,DAS
08329,DAS
08330,DAS
08341,DAS
08342,DAS
08343,DAS
08344,DAS
08347,DAS
08348,DAS
08350,DAS
08352,DAS
